"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"33E.2.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Atlantica",2024,"Temperate","Y"
1,"33E.2.1.1","Arthrobacter globiformis​","B2979","TARGET",5,7,3,1.67e+10,NA,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter globiformis​","B2880","B",0,8,3,NA,NA,"N","globiformis​","Clytemnestra",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter pascens​","B2884","D",0,8,3,NA,NA,"N","pascens​","Clytemnestra",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter globiformis​","B24025","F",100,8,3,3.33e+12,1,"N","globiformis​","Clytemnestra",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter oryzae​","B24478","G",0,8,3,NA,NA,"N","oryzae​","Clytemnestra",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter humicola​","B24479","H",0,8,3,NA,NA,"N","humicola​","Clytemnestra",2024,"Temperate","Y"
1,"32D.1.1.1.1","Arthrobacter globiformis​","B2979","TARGET",100,8,3,3.33e+12,NA,"N","globiformis​","Clytemnestra",2024,"Temperate","Y"
1,"32E.2.1.1","Arthrobacter globiformis​","B2880","B",0,8,3,NA,NA,"N","globiformis​","Panchaali",2024,"Lytic","Y"
1,"32E.2.1.1","Arthrobacter pascens​","B2884","D",0,8,3,NA,NA,"N","pascens​","Panchaali",2024,"Lytic","Y"
1,"32E.2.1.1","Arthrobacter globiformis​","B24025","F",19,8,3,6.33e+11,3.17,"N","globiformis​","Panchaali",2024,"Lytic","Y"
1,"32E.2.1.1","Arthrobacter oryzae​","B24478","G",1,6,3,3.33e+08,0.00167,"Y","oryzae​","Panchaali",2024,"Lytic","Y"
1,"32E.2.1.1","Arthrobacter humicola​","B24479","H",0,8,3,NA,NA,"N","humicola​","Panchaali",2024,"Lytic","Y"
1,"32E.2.1.1","Arthrobacter globiformis​","B2979","TARGET",6,8,3,2e+11,NA,"N","globiformis​","Panchaali",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter globiformis​","B2880","B",9,3,10,9e+05,1.5e-05,"N","globiformis​","FireStar",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter pascens​","B2884","D",0,3,10,NA,NA,"N","pascens​","FireStar",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter globiformis​","B24025","F",0,3,10,NA,NA,"N","globiformis​","FireStar",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter oryzae​","B24478","G",0,3,10,NA,NA,"N","oryzae​","FireStar",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter humicola​","B24479","H",0,3,10,NA,NA,"N","humicola​","FireStar",2024,"Lytic","Y"
1,"31D.1.2.1.1","Arthrobacter globiformis​","B2979","TARGET",6,8,10,6e+10,NA,"N","globiformis​","FireStar",2024,"Lytic","Y"
1,"7D.1.1","Arthrobacter globiformis​","B2880","B",3,7,3,1e+10,0.12,"N","globiformis​","MossAgate",2023,"","Y"
1,"7D.1.1","Arthrobacter pascens​","B2884","D",0,7,3,NA,NA,"N","pascens​","MossAgate",2023,"","Y"
1,"7D.1.1","Arthrobacter globiformis​","B24025","F",0,7,3,NA,NA,"N","globiformis​","MossAgate",2023,"","Y"
1,"7D.1.1","Arthrobacter oryzae​","B24478","G",0,7,3,NA,NA,"N","oryzae​","MossAgate",2023,"","Y"
1,"7D.1.1","Arthrobacter humicola​","B24479","H",0,7,3,NA,NA,"N","humicola​","MossAgate",2023,"","Y"
1,"7D.1.1","Arthrobacter globiformis​","B2979","TARGET",25,7,3,8.33e+10,NA,"N","globiformis​","MossAgate",2023,"","Y"
1,"8E.1.1","Arthrobacter globiformis​","B2880","B",8,6,3,2.67e+09,0.163,"N","globiformis​","Staurolite",2023,"","Y"
1,"8E.1.1","Arthrobacter pascens​","B2884","D",0,7,3,NA,NA,"N","pascens​","Staurolite",2023,"","Y"
1,"8E.1.1","Arthrobacter globiformis​","B24025","F",5,4,3,16700000,NA,"N","globiformis​","Staurolite",2023,"","Y"
1,"8E.1.1","Arthrobacter oryzae​","B24478","G",0,7,3,NA,NA,"N","oryzae​","Staurolite",2023,"","Y"
1,"8E.1.1","Arthrobacter humicola​","B24479","H",0,7,3,NA,NA,"N","humicola​","Staurolite",2023,"","Y"
1,"8E.1.1","Arthrobacter globiformis​","B2979","TARGET",49,6,3,1.63e+10,NA,"N","globiformis​","Staurolite",2023,"","Y"
1,"Ultraviolet","Arthrobacter globiformis​","B2880","B",0,3,3,NA,NA,"N","globiformis​","Ultraviolet",2024,"","N"
1,"Ultraviolet","Arthrobacter pascens​","B2884","D",0,3,3,NA,NA,"N","pascens​","Ultraviolet",2024,"","N"
1,"Ultraviolet","Arthrobacter globiformis​","B24025","F",0,3,3,NA,NA,"N","globiformis​","Ultraviolet",2024,"","N"
1,"Ultraviolet","Arthrobacter oryzae​","B24478","G",0,3,3,NA,NA,"N","oryzae​","Ultraviolet",2024,"","N"
1,"Ultraviolet","Arthrobacter humicola​","B24479","H",0,3,3,NA,NA,"N","humicola​","Ultraviolet",2024,"","N"
1,"Ultraviolet","Arthrobacter globiformis​","B2979","TARGET",4,6,3,1.33e+09,NA,"N","globiformis​","Ultraviolet",2024,"","N"
1,"16E.1.1","Arthrobacter globiformis​","B2880","B",2,5,3,66700000,0.00455,"N","globiformis​","PinkBalloon",2024,"","Y"
1,"16E.1.1","Arthrobacter pascens​","B2884","D",0,3,3,NA,NA,"N","pascens​","PinkBalloon",2024,"","Y"
1,"16E.1.1","Arthrobacter globiformis​","B24025","F",47,5,3,1.57e+09,0.107,"N","globiformis​","PinkBalloon",2024,"","Y"
1,"16E.1.1","Arthrobacter oryzae​","B24478","G",0,3,3,NA,NA,"N","oryzae​","PinkBalloon",2024,"","Y"
1,"16E.1.1","Arthrobacter humicola​","B24479","H",0,3,3,NA,NA,"N","humicola​","PinkBalloon",2024,"","Y"
1,"16E.1.1","Arthrobacter globiformis​","B2979","TARGET",44,6,3,1.47e+10,NA,"N","globiformis​","PinkBalloon",2024,"","Y"
1,"33E.1.1","Arthrobacter globiformis​","B2880","B",13,5,3,4.33e+08,0.325,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"33E.1.1","Arthrobacter pascens​","B2884","D",0,1,3,NA,NA,"N","pascens​","Atlantica",2024,"Temperate","Y"
1,"33E.1.1","Arthrobacter globiformis​","B24025","F",27,6,3,9e+09,6.75,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"33E.1.1","Arthrobacter oryzae​","B24478","G",31,2,3,1030000,0.000775,"N","oryzae​","Atlantica",2024,"Temperate","Y"
1,"33E.1.1","Arthrobacter humicola​","B24479","H",0,1,3,NA,NA,"N","humicola​","Atlantica",2024,"Temperate","Y"
1,"33E.1.1","Arthrobacter globiformis​","B2979","TARGET",40,5,3,1.33e+09,NA,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"I.1E.1.1","Arthrobacter globiformis​","B2880","B",21,3,3,7e+06,0.0084,"N","globiformis​","Dumortierite",2023,"","Y"
1,"I.1E.1.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","Dumortierite",2023,"","Y"
1,"I.1E.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Dumortierite",2023,"","Y"
1,"I.1E.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Dumortierite",2023,"","Y"
1,"I.1E.1.1","Arthrobacter globiformis​","B2979","TARGET",25,5,3,8.33e+08,NA,"N","globiformis​","Dumortierite",2023,"","Y"
1,"13D.1.1","Arthrobacter globiformis​","B2880","B",18,5,3,6e+08,0.0667,"N","globiformis​","ShrimpNGrits",2023,"","Y"
1,"13D.1.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","ShrimpNGrits",2023,"","Y"
1,"13D.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","ShrimpNGrits",2023,"","Y"
1,"13D.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","ShrimpNGrits",2023,"","Y"
1,"13D.1.1","Arthrobacter globiformis​","B2979","TARGET",27,6,3,9e+09,NA,"N","globiformis​","ShrimpNGrits",2023,"","Y"
1,"5E.1.1","Arthrobacter globiformis​","B2880","B",0,2,3,NA,NA,"N","globiformis​","BlackJade",2023,"","Y"
1,"5E.1.1","Arthrobacter globiformis​","B24025","F",4,7,3,1.33e+10,0.667,"N","globiformis​","BlackJade",2023,"","Y"
1,"5E.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","BlackJade",2023,"","Y"
1,"5E.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","BlackJade",2023,"","Y"
1,"5E.1.1","Arthrobacter globiformis​","B2979","TARGET",6,7,3,2e+10,NA,"N","globiformis​","BlackJade",2023,"","Y"
1,"35E.2.1.1","Arthrobacter globiformis​","B2880","B",0,2,3,NA,NA,"N","globiformis​","CherokeeRose",2024,"","Y"
1,"35E.2.1.1","Arthrobacter globiformis​","B24025","F",11,5,3,3.67e+08,0.0297,"N","globiformis​","CherokeeRose",2024,"","Y"
1,"35E.2.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","CherokeeRose",2024,"","Y"
1,"35E.2.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","CherokeeRose",2024,"","Y"
1,"35E.2.1.1","Arthrobacter globiformis​","B2979","TARGET",37,6,3,1.23e+10,NA,"N","globiformis​","CherokeeRose",2024,"","Y"
1,"Liebe","Arthrobacter globiformis​","B2880","B",0,2,3,NA,NA,"N","globiformis​","Liebe",2017,"Temperate","N"
1,"Liebe","Arthrobacter globiformis​","B24025","F",8,6,3,2.67e+09,0.08,"N","globiformis​","Liebe",2017,"Temperate","N"
1,"Liebe","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Liebe",2017,"Temperate","N"
1,"Liebe","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Liebe",2017,"Temperate","N"
1,"Liebe","Arthrobacter globiformis​","B2979","TARGET",10,7,3,3.33e+10,NA,"N","globiformis​","Liebe",2017,"Temperate","N"
1,"TrixiePhattel","Arthrobacter globiformis​","B2880","B",15,4,3,5e+07,0.15,"N","globiformis​","TrixiePhattel",2024,"Lytic","N"
1,"TrixiePhattel","Arthrobacter globiformis​","B24025","F",3,5,3,1e+08,0.3,"N","globiformis​","TrixiePhattel",2024,"Lytic","N"
1,"TrixiePhattel","Arthrobacter oryzae​","B24478","G",26,4,3,86700000,0.26,"N","oryzae​","TrixiePhattel",2024,"Lytic","N"
1,"TrixiePhattel","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","TrixiePhattel",2024,"Lytic","N"
1,"TrixiePhattel","Arthrobacter globiformis​","B2979","TARGET",10,5,3,3.33e+08,NA,"N","globiformis​","TrixiePhattel",2024,"Lytic","N"
1,"14D.1.1","Arthrobacter globiformis​","B2880","B",14,5,3,4.67e+08,0.0378,"N","globiformis​","ButteryBiscuit",2023,"","Y"
1,"14D.1.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","ButteryBiscuit",2023,"","Y"
1,"14D.1.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","ButteryBiscuit",2023,"","Y"
1,"14D.1.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","ButteryBiscuit",2023,"","Y"
